,education-num,capital-gain,capital-loss,age-range_encoded,workclass_encoded,occupation_encoded,relationship_encoded,race_encoded,sex_encoded,singleormarried_encoded,working-hours-range_encoded,unitedstateorothers_encoded,income-per-year_encoded
9151,9,0,1721,0,2,0,1,2,0,1,0,1,0
9152,9,0,0,1,5,10,0,4,1,0,1,1,0
9153,9,0,0,0,2,0,4,4,0,1,0,1,0
9154,9,0,0,3,2,13,1,4,1,1,1,1,0
9156,10,0,0,3,2,11,5,4,0,0,0,1,0
9157,9,0,0,0,2,11,1,4,0,1,0,1,0
9158,7,0,0,0,2,3,0,4,1,0,1,1,0
9159,9,3325,0,0,2,5,1,4,1,1,2,1,0
9160,9,0,0,1,2,2,0,4,1,0,2,1,0
9161,10,0,0,1,2,7,5,4,0,0,3,1,0
9162,13,0,0,1,1,9,1,4,0,1,1,1,0
9163,14,0,0,2,1,9,1,4,0,1,1,1,0
9164,13,1455,0,5,2,11,0,4,1,0,3,1,0
9165,9,0,0,1,2,7,5,4,0,0,1,1,1
9166,13,0,1902,3,1,9,0,4,1,0,1,1,1
9167,11,0,0,1,4,2,1,4,1,1,1,1,0
9168,10,0,0,1,2,3,1,4,0,1,1,1,1
9169,10,0,0,1,2,2,0,4,1,0,1,1,0
9172,10,0,0,0,2,0,1,4,1,1,1,1,0
9173,10,0,1887,1,2,5,0,4,1,0,1,1,1
9174,10,0,0,6,2,11,3,4,0,1,3,1,0
9175,7,0,0,0,2,3,4,4,0,1,1,1,0
9176,10,0,0,0,2,0,3,4,0,1,0,0,0
9177,11,0,0,1,2,0,0,4,1,0,1,1,1
9179,13,0,0,1,2,3,0,4,1,0,2,1,1
9180,9,0,0,3,2,2,0,4,1,0,1,1,1
9181,14,0,0,1,1,9,1,4,0,1,1,1,0
9182,10,0,0,2,2,11,0,4,1,0,1,1,1
9183,7,0,0,1,2,6,2,4,1,1,0,1,0
9184,13,99999,0,1,2,9,0,4,1,0,1,1,1
9185,11,0,0,2,2,12,1,4,1,1,1,1,0
9186,9,0,0,1,2,2,0,4,1,0,1,1,0
9187,10,0,0,1,2,7,0,4,1,0,1,1,1
9188,9,0,0,0,2,6,0,4,1,0,1,1,0
9189,13,4101,0,0,2,3,1,4,1,1,0,1,0
9190,10,0,0,2,4,7,0,4,1,0,1,1,1
9191,9,0,0,2,2,6,0,4,1,0,1,1,0
9192,10,0,0,1,2,3,0,4,1,0,1,1,0
9193,10,0,0,0,2,0,4,4,1,1,1,1,0
9194,16,0,0,1,5,9,0,4,1,0,1,1,1
9195,13,0,0,0,2,9,1,4,1,1,0,1,0
9196,9,0,0,2,2,13,1,0,1,1,1,1,0
9198,13,0,1977,2,2,11,0,4,1,0,1,1,1
9199,15,0,0,1,2,9,0,4,1,0,2,1,1
9200,4,0,0,4,4,13,0,4,1,0,1,1,1
9201,13,0,0,1,2,7,5,4,0,0,0,0,0
9202,9,0,0,1,2,7,4,4,0,1,1,0,0
9203,12,0,0,0,2,9,1,4,0,1,1,1,0
9204,13,0,0,1,2,12,0,4,1,0,1,1,1
9205,9,0,0,2,0,0,0,2,1,0,1,1,1
9206,4,0,0,3,2,4,2,4,0,1,1,0,0
9207,9,0,0,0,2,5,1,4,0,1,1,1,0
9208,9,0,0,0,2,5,3,4,1,1,1,1,0
9209,9,0,0,0,2,7,4,4,0,1,1,1,0
9210,14,0,0,0,4,3,5,4,0,0,0,1,1
9212,9,0,0,0,0,9,1,4,1,1,1,1,0
9213,9,0,0,3,5,0,0,2,1,0,1,1,1
9215,13,0,0,1,1,2,0,1,1,0,1,0,0
9216,9,0,0,2,2,11,0,4,1,0,3,0,0
9217,13,0,0,2,2,3,0,4,1,0,1,1,1
9218,13,0,1902,3,2,3,0,4,1,0,1,1,1
9219,9,0,0,0,2,9,4,4,0,1,1,1,0
9220,9,0,0,3,2,0,1,4,0,1,1,1,0
9221,7,0,0,2,2,5,1,4,1,1,1,1,0
9222,9,0,0,6,2,9,1,4,0,1,1,1,0
9223,9,0,0,2,2,12,2,4,1,1,1,1,0
9224,7,0,0,1,2,2,0,4,1,0,1,1,0
9225,12,0,2002,0,1,10,0,4,1,0,1,0,0
9226,9,0,0,2,2,11,4,0,0,1,1,1,0
9227,14,27828,0,2,2,9,1,4,0,1,0,1,1
9228,13,99999,0,2,2,11,0,4,1,0,1,1,1
9229,9,0,0,1,2,11,0,4,1,0,1,1,0
9230,6,0,0,1,2,7,4,2,0,1,1,1,0
9231,4,0,0,1,2,2,0,4,1,0,1,1,0
9232,13,0,0,4,5,3,0,4,1,0,1,1,1
9233,9,0,0,3,2,13,0,4,1,0,1,1,0
9234,13,0,0,0,2,12,1,4,0,1,1,1,0
9235,10,0,1977,1,0,5,0,4,1,0,2,1,1
9236,10,0,0,0,2,2,1,4,1,1,1,1,0
9238,9,0,0,1,1,0,4,4,0,1,1,1,0
9239,8,1055,0,6,2,9,3,4,0,1,1,1,0
9240,9,0,0,0,2,0,3,4,0,1,1,1,0
9241,9,0,0,1,2,11,0,2,1,0,1,1,1
9242,13,7688,0,2,2,2,0,4,1,0,1,1,1
9243,10,0,0,0,2,11,2,4,0,1,3,1,0
9244,12,10520,0,1,2,6,1,2,0,1,1,1,1
9246,9,0,0,1,2,2,0,4,1,0,1,1,0
9247,9,7298,0,1,5,2,0,4,1,0,1,1,1
9248,10,0,0,1,1,3,4,2,0,1,1,1,0
9249,9,0,0,6,2,7,5,2,0,0,3,1,0
9250,9,0,0,0,2,13,3,4,1,1,1,1,0
9251,13,0,0,3,2,2,4,4,1,1,0,1,0
9252,3,0,1579,2,2,7,0,3,1,0,1,0,0
9253,9,0,0,2,2,0,1,4,0,1,1,1,0
9254,10,0,0,3,0,0,0,4,1,0,1,1,1
9255,13,0,0,1,2,11,1,4,1,1,1,1,0
9256,9,0,0,1,2,6,0,4,1,0,1,1,0
9257,9,0,0,6,6,4,3,4,1,1,0,1,0
9258,7,0,0,0,5,7,4,4,0,1,1,1,0
9259,6,0,0,4,2,13,0,4,1,0,1,1,0
9260,9,0,0,1,4,3,0,4,1,0,1,1,0
9261,6,0,0,1,2,7,1,4,0,1,2,1,0
9262,9,0,0,0,2,5,4,4,0,1,1,0,0
9263,14,0,0,0,0,9,1,4,1,1,1,1,0
9264,8,0,0,6,2,7,3,4,1,1,3,1,0
9265,9,0,0,3,4,11,0,4,1,0,1,0,1
9266,9,0,0,3,1,3,0,0,1,0,1,1,0
9267,7,0,0,1,2,13,1,4,1,1,1,1,0
9268,10,0,0,1,1,3,0,4,1,0,1,1,1
9269,9,0,0,1,2,12,0,4,1,0,1,1,1
9270,9,0,0,1,2,11,0,4,1,0,1,1,0
9271,9,0,0,0,2,7,3,4,1,1,1,1,0
9272,10,0,0,0,2,11,3,4,0,1,1,1,0
9273,13,0,0,1,2,9,0,4,1,0,1,1,1
9274,13,0,0,3,4,3,0,4,1,0,1,1,1
9275,10,0,1602,0,2,7,1,4,1,1,3,1,0
9276,14,0,0,3,1,9,0,4,1,0,1,1,0
9277,13,0,0,0,0,9,1,3,0,1,1,1,0
9278,13,0,0,1,2,12,1,4,0,1,1,1,0
9279,9,4386,0,1,2,6,5,4,0,0,1,1,1
9280,10,0,0,2,4,2,0,4,1,0,1,0,0
9281,4,0,0,1,2,11,4,4,0,1,1,1,0
9282,9,0,0,3,2,3,0,4,1,0,1,1,0
9283,6,0,0,2,2,2,1,4,1,1,1,1,0
9284,10,0,0,0,2,2,0,4,1,0,2,1,0
9285,3,0,0,3,2,11,0,4,1,0,1,1,0
9286,9,0,0,0,2,0,1,2,0,1,1,1,0
9287,13,0,0,2,2,7,1,4,0,1,1,1,0
9288,9,0,0,1,5,2,0,4,1,0,1,1,0
9289,12,0,0,6,2,3,1,4,0,1,1,1,0
9290,7,3908,0,3,2,7,5,4,0,0,0,1,0
9291,9,0,0,3,2,7,4,4,0,1,0,1,0
9292,4,0,1672,2,2,13,0,4,1,0,1,1,0
9294,9,0,0,2,2,0,1,4,0,1,1,1,0
9295,13,0,0,1,2,3,1,4,1,1,2,1,0
9296,12,0,0,1,4,2,0,4,1,0,1,1,0
9297,10,0,0,2,2,0,1,4,0,1,0,1,0
9298,13,0,0,1,2,3,1,4,1,1,1,1,0
9299,13,0,0,2,4,9,0,4,1,0,1,1,0
9300,9,0,0,2,2,2,4,2,0,1,1,1,0
9301,10,0,0,6,2,7,3,4,1,1,0,1,0
9302,13,0,0,4,3,9,0,4,1,0,1,1,0
9303,13,0,0,3,4,4,0,4,1,0,3,1,0
9304,9,0,0,0,0,0,2,4,1,1,0,1,0
9305,9,0,0,0,2,7,1,4,1,1,1,0,0
9306,14,0,1902,3,2,3,0,4,1,0,1,0,1
9307,10,0,0,0,4,2,1,4,1,1,1,1,0
9308,13,0,0,3,2,11,1,4,1,1,1,1,0
9309,9,0,2377,1,2,9,0,4,1,0,2,1,0
9310,13,15024,0,2,2,11,0,4,1,0,1,1,1
9311,10,0,0,3,2,3,0,4,1,0,1,1,0
9312,9,0,0,3,2,2,1,4,1,1,1,1,1
9313,10,0,0,0,2,7,1,4,1,1,0,1,0
9314,12,0,0,1,2,0,4,2,0,1,1,0,0
9315,10,0,0,2,2,3,5,4,0,0,2,1,0
9316,6,0,0,2,2,13,1,2,1,0,1,1,0
9317,9,0,0,1,2,2,3,4,1,1,1,1,0
9318,14,0,0,1,2,9,4,1,1,1,1,0,0
9319,9,2829,0,2,2,0,0,4,1,0,1,1,0
9320,9,0,0,1,4,11,0,4,1,0,2,1,0
9321,10,0,0,1,3,11,0,4,1,0,1,1,1
9322,10,0,0,0,2,9,3,4,1,1,3,0,0
9323,13,0,0,2,4,4,0,4,1,0,1,1,0
9325,13,0,0,2,4,9,1,4,1,0,0,1,0
9326,10,0,0,1,1,0,3,2,1,1,1,1,0
9327,11,0,0,0,2,2,1,4,1,1,0,1,0
9328,10,0,0,0,2,7,1,4,0,1,3,1,0
9329,16,0,0,3,2,3,1,4,1,1,1,1,1
9330,10,0,0,0,2,0,1,2,0,1,1,1,0
9331,13,0,0,1,2,3,0,4,1,0,1,1,1
9332,5,0,0,1,2,6,1,4,1,1,1,1,0
9333,9,0,0,2,2,11,4,4,0,1,0,1,0
9334,4,0,0,0,2,6,0,4,1,0,1,0,0
9335,11,0,0,1,2,2,3,4,1,1,1,1,0
9336,9,0,0,1,2,11,0,4,1,0,1,0,0
9337,10,0,0,0,5,10,1,4,1,1,1,1,0
9338,12,0,0,0,2,3,0,4,1,0,1,1,0
9339,10,0,0,2,2,11,4,4,0,1,1,0,0
9341,10,0,0,6,2,0,3,4,1,1,3,0,0
9343,10,0,0,0,2,7,3,4,1,1,0,1,0
9344,13,0,0,1,0,10,0,4,1,0,2,1,0
9345,14,0,0,2,2,3,0,4,1,0,1,1,1
9346,10,0,0,0,2,4,0,3,1,0,1,1,0
9347,10,0,0,3,2,0,5,4,0,0,3,0,1
9348,13,15024,0,2,2,3,0,4,1,0,2,1,1
9349,10,0,0,0,2,11,3,4,0,1,3,1,0
9350,11,0,0,3,5,9,4,4,0,1,1,1,0
9352,16,0,0,2,5,9,0,4,1,0,1,1,1
9354,14,0,0,2,2,9,1,4,1,0,1,1,0
9355,9,0,0,3,2,6,3,2,1,1,1,1,0
9356,10,0,0,0,2,5,3,4,0,1,0,1,0
9357,9,0,0,4,4,11,0,4,1,0,1,1,0
9359,9,0,0,2,2,5,0,4,1,0,1,1,0
9360,9,0,0,3,2,6,4,2,0,1,1,1,0
9361,9,0,0,1,2,6,0,4,1,0,1,1,0
9362,9,0,0,0,1,4,3,4,1,1,1,1,0
9363,9,0,0,1,2,7,0,4,1,0,1,1,0
9364,9,0,0,4,2,6,0,4,1,0,1,1,1
9365,9,0,0,2,2,3,1,4,1,1,1,1,0
9368,9,0,0,0,2,6,4,4,0,1,1,1,0
9369,13,0,0,1,2,0,1,4,0,1,1,1,0
9370,8,0,0,1,2,5,1,4,1,1,1,1,0
9371,9,0,0,0,2,6,3,1,1,1,1,0,0
9372,13,0,0,3,2,9,0,4,1,0,1,1,1
9373,13,0,0,2,2,9,0,4,1,0,1,1,0
9374,10,10566,0,4,2,3,5,4,0,0,0,1,0
9375,7,0,0,4,2,2,0,4,1,0,0,1,0
9376,9,0,0,2,2,11,0,4,1,0,1,1,0
9377,10,0,0,3,2,0,4,4,0,1,1,1,0
9378,10,0,1977,3,2,3,0,4,1,0,1,1,1
9379,9,0,0,0,2,5,0,4,1,0,1,1,0
9380,10,0,0,1,2,12,4,2,0,1,1,1,0
9381,9,0,0,0,2,7,3,4,1,1,1,1,0
9382,9,0,0,1,2,7,0,4,1,0,1,1,0
9383,13,0,0,0,2,11,4,4,1,1,2,1,0
9384,12,0,0,0,0,3,3,4,0,1,1,0,0
9385,9,0,0,6,2,7,3,4,1,1,0,1,0
9386,9,0,0,2,4,3,0,4,1,0,0,1,1
9387,9,0,0,0,2,2,0,4,1,0,1,1,0
9388,10,0,0,1,2,10,0,4,1,0,1,0,0
9389,9,0,0,1,1,2,4,4,1,1,1,1,0
9390,3,0,0,4,2,2,0,4,1,0,1,0,0
9391,10,0,0,2,2,13,0,4,1,0,1,1,0
9392,14,0,0,2,2,3,0,4,1,0,1,1,1
9393,9,0,0,1,2,2,0,4,1,0,1,1,1
9394,7,0,0,6,2,7,3,4,0,1,3,1,0
9395,9,0,0,1,2,11,3,4,0,1,1,1,0
9396,9,4064,0,3,2,11,0,4,1,0,1,1,0
9397,10,0,2042,2,2,11,0,4,1,0,1,1,0
9398,9,0,0,0,4,4,3,4,1,1,4,1,0
9399,13,0,0,3,1,9,0,4,1,0,1,1,1
9400,4,0,0,1,4,4,0,4,1,0,1,1,0
9401,14,0,0,1,5,9,3,4,0,1,1,1,0
9402,9,0,0,0,2,7,1,4,1,1,1,0,0
9403,9,0,0,6,2,4,3,4,1,1,0,1,0
9404,10,0,0,4,1,7,0,1,1,0,2,0,0
9405,5,0,0,2,1,7,3,4,1,1,1,1,0
9406,10,0,1602,0,2,12,3,4,1,1,3,1,0
9407,9,0,1980,2,2,13,1,4,1,1,1,1,0
9408,9,0,0,1,2,2,0,4,1,0,1,1,0
9410,9,0,0,6,2,3,1,2,1,1,0,1,0
9411,10,0,0,0,2,0,3,4,1,1,1,1,0
9412,10,0,0,0,2,5,3,4,0,1,0,1,0
9413,12,0,0,1,2,11,1,4,1,1,1,1,0
9414,10,0,0,4,2,3,0,4,1,0,1,1,0
9415,15,0,0,0,4,9,3,4,1,1,0,1,0
9416,13,0,0,2,0,3,0,4,1,0,1,1,1
9417,9,0,0,1,2,2,0,4,1,0,1,1,0
9419,13,0,0,1,2,9,4,4,0,1,0,1,0
9420,9,0,0,1,2,11,1,4,1,1,1,1,0
9421,9,0,0,2,2,11,1,4,0,1,1,1,0
9422,13,0,0,4,2,0,5,4,0,0,0,1,1
9423,9,0,0,0,2,3,3,4,1,1,1,1,0
9424,10,0,0,3,1,0,1,2,0,1,1,1,0
9425,13,0,0,3,2,9,0,4,1,0,1,1,1
9426,4,0,0,3,2,6,3,4,1,1,1,1,0
9427,9,0,0,1,3,2,0,4,1,0,1,1,0
9428,9,0,0,1,2,2,4,4,1,1,1,1,0
9429,13,0,0,0,2,9,0,4,1,0,1,1,0
9430,9,3908,0,0,2,13,0,4,1,0,0,1,0
9431,10,0,0,0,2,7,3,4,1,1,2,1,0
9432,4,0,0,4,2,2,0,4,1,0,1,1,0
9433,14,0,0,3,3,11,1,4,0,1,1,1,0
9434,9,0,0,2,2,12,1,4,0,1,1,1,0
9435,10,0,0,2,2,13,0,4,1,0,1,1,0
9436,9,0,0,0,2,13,1,4,1,1,1,1,0
9437,9,0,0,1,2,2,0,4,1,0,1,1,0
9438,13,0,1876,0,2,11,1,4,0,1,1,1,0
9439,6,0,1887,3,2,13,0,4,1,0,1,1,1
9440,13,0,0,1,3,3,0,4,1,0,1,1,0
9441,9,0,0,2,2,8,1,1,0,1,1,0,0
9442,14,0,0,1,2,6,0,4,1,0,1,1,0
9443,9,0,0,1,2,3,0,4,1,0,1,1,0
9444,7,0,0,3,2,2,0,4,1,0,1,1,0
9445,9,0,0,1,2,0,4,4,0,1,0,1,0
9446,3,0,0,0,2,2,2,4,1,1,1,0,0
9447,9,0,0,2,4,6,5,4,0,0,1,1,0
9448,9,0,0,2,2,10,4,4,0,1,1,1,0
9449,10,0,0,3,2,2,0,4,1,0,1,1,1
9450,9,0,0,0,4,4,1,4,1,1,1,1,0
9451,9,0,0,1,2,2,0,4,1,0,1,1,0
9453,13,7688,0,1,2,3,0,4,1,0,1,1,1
9454,14,0,0,2,1,9,0,2,1,0,3,1,1
9455,9,0,0,0,2,5,3,4,1,1,0,1,0
9456,11,0,0,1,2,10,3,2,1,1,1,1,0
9457,10,0,0,0,2,7,1,1,0,1,1,0,0
9458,9,0,0,3,2,5,1,2,1,1,1,1,0
9459,10,0,0,1,2,2,1,4,1,1,0,1,0
9460,10,0,0,2,5,0,1,4,0,1,1,1,0
9461,10,0,0,0,2,0,3,4,1,1,0,1,0
9462,10,0,0,0,2,0,1,4,1,1,0,1,0
9463,10,0,0,0,5,0,0,1,1,0,1,0,0
9464,10,0,0,3,4,11,5,4,0,0,1,1,0
9465,9,0,0,2,2,3,0,4,1,0,1,1,1
9466,9,0,0,2,2,13,0,4,1,0,1,1,0
9467,10,0,0,0,2,7,1,4,1,1,0,1,0
9468,14,15024,0,2,5,9,5,4,0,0,0,1,1
9469,13,0,0,1,4,9,5,4,0,0,3,1,1
9470,10,0,0,0,2,6,2,1,1,1,1,0,0
9471,9,0,0,7,1,3,1,4,0,1,0,1,0
9472,10,0,0,2,2,2,2,4,1,1,1,1,0
9473,13,0,0,1,2,11,1,4,0,1,1,1,0
9474,10,0,1380,2,2,13,3,4,1,1,1,1,0
9475,10,0,0,2,2,3,4,4,0,1,1,0,0
9476,10,0,0,4,4,11,0,4,1,0,0,1,0
9478,9,0,0,2,2,13,1,4,1,1,1,1,0
9479,9,0,0,2,1,2,4,2,1,1,1,1,0
9480,13,0,0,0,1,0,0,4,1,0,1,1,0
9481,10,0,0,1,2,2,0,4,1,0,1,1,0
9482,7,0,0,3,2,7,0,4,1,0,1,1,0
9483,10,0,0,1,2,0,4,4,0,1,1,1,0
9485,9,0,0,1,2,13,0,2,1,0,1,1,0
9486,13,0,0,0,2,3,0,4,1,0,0,1,0
9487,13,0,0,4,2,6,0,4,1,0,1,1,0
9488,10,0,0,1,2,2,0,4,1,0,1,1,0
9489,9,0,0,2,2,4,1,4,1,0,2,1,0
9491,13,0,0,2,2,3,0,4,1,0,1,1,1
9492,9,0,0,1,2,7,4,4,0,1,2,1,0
9493,10,0,0,3,2,0,0,4,1,0,1,1,1
9494,4,0,0,4,4,3,0,4,1,0,3,1,0
9495,10,0,0,2,2,6,0,4,1,0,1,1,0
9496,7,0,0,6,1,0,3,4,0,1,3,1,0
9497,9,0,0,1,2,7,1,4,0,1,0,1,0
9498,9,2329,0,5,4,7,2,4,0,1,0,1,0
9499,10,0,0,6,2,7,3,4,0,1,3,1,0
9501,10,0,0,4,2,11,0,4,1,0,1,1,0
9502,13,0,0,1,2,9,0,4,1,0,0,1,1
9504,6,0,0,0,2,4,4,4,0,1,1,0,0
9505,10,6849,0,2,1,13,4,4,1,1,1,1,0
9506,9,0,0,2,5,13,0,4,1,0,0,1,1
9507,9,0,0,0,2,11,1,4,1,1,1,1,0
9508,10,0,0,0,2,2,0,4,1,0,2,1,0
9509,9,0,0,4,4,7,5,2,0,0,3,1,0
9510,7,0,0,2,2,7,1,4,0,1,0,1,0
9511,10,0,0,6,2,5,3,4,1,1,0,1,0
9512,10,0,0,1,2,6,1,4,0,1,1,1,0
9513,10,0,0,0,2,7,1,4,1,1,0,1,0
9514,14,0,0,1,1,9,4,4,0,1,1,1,0
9515,10,2036,0,2,3,3,4,4,0,1,2,1,0
9516,9,0,0,2,2,11,0,4,1,0,2,1,1
9517,13,0,0,0,1,9,3,4,0,1,1,1,0
9518,14,0,0,0,2,9,3,4,0,1,1,1,0
9519,7,0,2001,1,2,2,1,4,1,1,1,1,0
9520,13,0,0,3,2,13,1,4,1,1,1,1,0
9521,9,0,0,1,2,3,5,4,0,0,1,0,1
9522,9,0,0,2,2,7,4,4,0,1,0,1,0
9523,14,0,0,2,3,11,0,4,1,0,2,1,1
9524,9,0,0,1,2,2,0,4,1,0,1,1,0
9525,9,0,0,1,2,7,4,1,0,1,1,0,0
9526,12,0,0,2,2,11,0,4,1,0,1,1,0
9527,11,0,0,0,2,12,3,4,1,1,1,1,0
9528,9,0,0,2,2,2,4,4,1,1,1,1,0
9529,14,0,0,3,1,9,0,4,1,0,1,1,1
9530,10,0,0,0,2,11,3,4,0,1,0,1,0
9532,10,0,0,2,2,0,5,4,0,0,1,1,0
9533,14,0,0,2,4,11,0,1,1,0,1,0,0
9534,10,0,0,2,2,13,0,4,1,0,1,1,0
9535,10,0,0,0,5,7,1,4,0,1,0,1,0
9538,9,0,0,3,1,2,0,4,1,0,1,1,0
9539,10,0,0,3,1,3,1,4,0,1,0,1,0
9540,9,0,0,6,2,7,3,2,1,1,0,1,0
9541,10,0,0,1,1,9,3,4,0,1,1,1,0
9542,10,0,0,2,2,7,4,4,0,1,1,1,0
9543,9,0,0,0,2,2,2,3,1,1,1,1,0
9544,10,0,0,2,2,2,1,4,1,1,1,1,0
9545,9,0,0,3,2,7,4,4,0,1,0,1,0
9546,10,0,0,4,2,13,0,4,1,0,2,1,0
9547,12,0,0,0,2,12,0,4,1,0,1,1,1
9548,9,0,0,2,0,7,4,2,0,1,1,1,0
9550,9,0,0,2,4,2,0,1,1,0,2,0,0
9551,9,3887,0,1,2,5,4,4,0,1,1,0,0
9552,14,0,0,2,5,9,1,4,1,1,1,1,0
9553,9,0,0,1,2,0,0,1,1,0,1,0,0
9554,11,0,0,2,0,12,1,3,0,1,0,1,0
9555,10,0,0,0,4,0,3,4,1,1,0,1,0
9556,14,0,0,2,2,11,4,4,0,1,1,1,0
9558,10,0,0,2,4,0,5,4,0,0,0,1,1
9560,10,0,0,2,1,2,1,4,1,1,1,1,0
9561,13,0,0,3,2,3,1,4,0,1,1,1,1
9562,13,0,0,1,2,9,3,4,1,1,1,1,0
9563,13,0,0,0,2,7,0,4,1,0,0,1,0
9564,10,0,0,0,2,11,0,4,1,0,1,1,0
9565,13,2174,0,1,4,11,1,2,0,1,1,1,0
9566,7,0,0,2,2,7,1,4,1,1,2,1,0
9567,9,0,0,4,2,3,0,4,1,0,1,1,1
9568,4,0,0,5,5,7,1,1,0,1,1,1,0
9569,7,0,0,1,2,5,0,4,1,0,1,1,0
9570,13,0,0,0,2,0,3,4,0,1,1,1,0
9571,10,0,0,2,1,7,4,4,0,1,0,1,0
9572,7,0,0,0,2,7,4,2,0,1,0,1,0
9573,5,0,0,1,2,13,0,4,1,0,0,1,0
9574,7,0,0,6,2,2,1,4,1,1,1,1,0
9575,6,0,0,0,2,6,5,4,0,0,1,1,0
9576,9,0,0,1,2,0,4,4,0,1,0,1,0
9578,9,0,0,0,2,6,2,4,1,1,1,1,0
9579,14,0,0,2,2,7,4,4,0,1,1,1,0
9581,10,0,0,1,2,0,4,2,0,1,1,1,0
9583,12,0,0,1,4,7,1,2,1,1,0,1,0
9584,10,0,0,6,2,7,3,4,0,1,0,1,0
9585,6,0,0,6,2,11,4,4,0,1,3,1,0
9586,10,0,0,2,4,4,0,4,1,0,1,1,0
9587,9,0,0,4,2,0,1,4,0,1,1,1,0
9588,14,0,0,3,1,9,1,2,0,1,1,1,1
9589,14,0,0,2,5,9,0,4,1,0,2,1,1
9590,9,0,0,2,2,0,1,2,0,1,1,1,0
9591,10,0,0,1,2,7,3,2,0,1,1,1,0
9592,9,0,0,3,2,11,1,4,0,1,0,1,0
9593,9,0,0,0,2,6,3,2,0,1,1,1,0
9594,10,0,0,2,1,5,0,4,1,0,1,1,0
9595,3,0,0,3,1,7,2,2,0,1,1,0,0
9596,9,4865,0,0,0,0,1,4,1,1,1,1,0
9597,9,0,0,4,5,0,1,4,0,1,0,1,0
9598,10,0,0,3,2,7,3,4,1,1,0,1,0
9599,14,8614,0,2,1,12,1,2,0,1,1,1,1
9600,10,0,0,0,3,3,1,4,1,1,2,1,0
9601,10,3942,0,2,2,11,0,4,1,0,1,1,0
9602,9,0,0,3,2,7,0,4,1,0,1,1,0
9603,9,0,0,1,2,13,1,4,1,1,1,1,0
9604,9,0,0,0,1,0,3,4,1,1,1,1,0
9605,13,13550,0,0,2,2,1,4,1,1,1,1,1
9606,10,0,0,3,4,2,1,4,1,1,1,1,0
9607,7,0,0,0,2,0,3,2,0,1,1,1,0
9608,9,0,0,2,2,11,5,4,0,0,0,1,0
9609,11,0,0,1,2,9,1,4,0,1,0,1,0
9610,13,0,0,1,2,9,0,4,1,0,1,1,1
9611,10,0,0,6,2,7,3,4,0,1,0,1,0
9612,6,0,0,3,2,7,1,4,1,1,0,1,0
9613,13,15024,0,3,2,11,0,4,1,0,1,1,1
9614,13,0,0,0,2,0,1,4,1,1,1,1,0
9615,9,0,0,3,2,2,0,4,1,0,1,0,0
9617,10,3325,0,4,2,9,4,4,1,1,1,1,0
9618,10,0,0,1,2,0,4,4,0,1,0,1,0
9619,9,0,0,1,2,11,0,4,1,0,1,1,0
9620,10,0,0,2,2,9,1,4,1,1,1,1,1
9621,10,0,0,0,2,7,2,4,0,1,0,1,0
9622,13,0,0,0,5,0,1,2,0,1,0,1,0
9623,11,2202,0,3,2,0,1,2,0,1,1,1,0
9625,13,0,0,1,1,9,1,4,0,0,1,1,0
9627,3,0,0,2,2,4,5,4,0,0,1,0,0
9628,9,0,0,0,2,7,1,4,0,1,1,1,0
9629,14,0,0,2,2,3,0,4,1,0,0,1,1
9630,9,0,0,1,1,10,3,4,1,1,1,1,0
9631,9,0,2042,1,2,5,0,4,1,0,1,1,0
9632,13,0,2415,2,2,3,0,4,1,0,2,1,1
9633,13,0,0,4,2,4,1,4,1,1,0,1,0
9634,4,0,0,3,2,6,1,0,0,1,1,1,0
9635,9,0,0,1,2,11,4,2,0,1,0,1,0
9636,13,0,0,0,2,6,0,4,1,0,1,1,0
9637,9,0,0,1,2,2,1,4,1,1,1,1,0
9638,6,0,0,3,2,2,0,4,1,0,1,1,0
9639,13,0,0,2,2,3,0,4,1,0,1,1,1
9640,16,0,0,1,2,9,0,4,1,0,1,1,0
9641,10,0,0,2,2,11,1,4,1,1,1,1,0
9642,9,0,0,4,2,2,0,4,1,0,1,1,0
9643,10,0,0,4,4,11,0,4,1,0,0,1,0
9644,10,0,0,6,2,11,3,4,0,1,0,1,0
9645,3,0,0,2,2,4,4,4,1,0,0,0,0
9646,4,0,0,4,4,7,1,4,0,1,2,1,0
9647,12,0,0,0,2,9,0,4,1,0,1,1,0
9648,13,0,0,2,2,5,0,2,1,0,1,0,1
9649,9,7298,0,1,2,3,0,4,1,0,1,1,1
9651,13,0,0,1,2,3,5,4,0,0,1,1,0
9652,12,4386,0,2,2,3,0,4,1,0,1,1,1
9653,13,0,0,0,2,0,1,4,1,1,0,1,0
9654,10,0,0,2,1,13,4,4,1,1,1,1,0
9655,6,0,0,6,2,7,3,4,1,1,3,1,0
9656,13,0,0,2,1,9,4,4,1,1,2,1,0
9657,10,0,0,6,2,11,3,4,1,1,0,1,0
9658,2,0,0,3,2,7,0,3,1,0,1,0,0
9659,9,0,0,0,2,0,4,2,1,1,0,1,0
9660,10,0,0,1,1,0,0,4,1,0,1,0,1
9661,11,0,0,0,2,6,0,4,1,0,1,1,0
9662,10,0,0,1,2,11,3,4,1,1,0,1,0
9663,15,0,0,1,2,9,0,4,1,0,1,1,1
9664,8,0,0,3,2,6,1,4,1,1,1,1,0
9665,9,1831,0,2,2,6,3,4,0,1,1,0,0
9666,9,0,0,0,2,6,1,4,0,0,0,0,0
